Prefix,Length,Type,Entity Name,Entity Type,Entity ID
152.27.66.0,29,Video,Wilkes Community College,Community College,CC57
152.26.58.0,24,LAN,Wilkes County Schools,LEA,970
152.26.236.192,28,LAN,Williams Academy,CHARTER,06B
152.26.235.0,28,LAN,Willow Oak Montessori,CHARTER,19C
152.26.170.64,29,LAN,Wilmington School of the Arts,CHARTER,65H
198.86.62.0,23,LAN,Wilson Community College,Community College,CC58
152.27.66.16,29,Video,Wilson Community College,Community College,CC58
152.46.27.32,27,Customer Allocation,Wilson Community College,Community College,CC58
152.26.63.0,24,LAN,Wilson County School District,LEA,980
152.26.232.16,28,LAN,Wilson Preparatory Academy,CHARTER,98B
152.22.0.0,23,LAN,Winston-Salem Forsyth County Schools,LEA,340
152.26.237.0,28,LAN,Woods Charter School,CHARTER,19B
66.226.33.16,28,Non-NCREN,Yadkin County Schools,LEA,990
152.26.73.128,26,LAN,Yadkin County Schools,LEA,990
152.26.10.160,27,LAN,Yancey County Schools,LEA,995
152.26.14.128,26,LAN,Yancey County Schools,LEA,995
152.26.233.32,28,LAN,ZECA School of Arts and Technology,CHARTER,67B
152.14.23.0,25,Friday Institute,NC State University,UNC,NCSU-Friday Institute
152.14.23.128,25,Friday Institute,NC State University,UNC,NCSU-Friday Institute
152.14.24.0,25,Friday Institute,NC State University,UNC,NCSU-Friday Institute
152.14.24.128,25,Friday Institute,NC State University,UNC,NCSU-Friday Institute
152.14.26.0,24,Friday Institute,NC State University,UNC,NCSU-Friday Institute
152.14.103.0,24,Friday Institute,NC State University,UNC,NCSU-Friday Institute
152.14.193.64,26,Friday Institute,NC State University,UNC,NCSU-Friday Institute
152.1.166.0,24,CUACS,NCSU-CUACS,LEA,NCSU-CUACS
152.1.168.0,24,CUACS,NCSU-CUACS,LEA,NCSU-CUACS
152.1.84.0,24,CUACS,NCSU-CUACS,LEA,NCSU-CUACS
149.168.203.0,24,LAN,DPI,State Agency,DPI
149.168.207.0,24,LAN,DPI,State Agency,DPI
149.168.208.0,24,LAN,DPI,State Agency,DPI
149.168.209.0,24,LAN,DPI,State Agency,DPI
149.168.210.0,24,LAN,DPI,State Agency,DPI
149.168.211.0,24,LAN,DPI,State Agency,DPI
149.168.215.0,24,LAN,DPI,State Agency,DPI
149.168.216.0,24,LAN,DPI,State Agency,DPI
149.168.35.0,24,LAN,DPI,State Agency,DPI
149.168.41.0,24,LAN,DPI,State Agency,DPI
149.168.53.0,24,LAN,DPI,State Agency,DPI
199.90.6.229,29,LAN,DPI,State Agency,DPI
199.90.6.229,32,LAN,DPI,State Agency,DPI
207.192.34.22,32,LAN,DPI,State Agency,DPI
207.192.34.72,32,LAN,DPI,State Agency,DPI
52.20.98.11,32,Friday Institute,NC State University,UNC,NCSU-Friday Institute-PLACE
152.1.0.0,16,NC State University,NC State University,UNC,NCSU
152.7.0.0,16,NC State University,NC State University,UNC,NCSU
